,line_num,og_line_num,article_id,title,date,page,newspaper_id,newspaper_title,category,words,illustrated,edition,supplement,section,url,page_url,snippet,relevance,status,corrections,last_corrected,tags,comments,lists,text,pdf,images,placenames
0,0,38,100195163,EERIE GHOST LEGENDS.,1900-04-07,1 S,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,928,N,Empty,SUPPLEMENT TO THE BRAIDWOOD DISPATCH,Empty,https://nla.gov.au/nla.news-article100195163,https://nla.gov.au/nla.news-page10962422,"Near the Forton Barracks, Gosport, the headquarters of the Royal Marine Light Infantry lies an interesting memento of the old French War a called in space where lie buried countless",203.852783203125,Empty,0,Empty,0,0,0,text/19000407-472-100195163.txt,Empty,Empty,", IBIS, SPANISH, "
1,1,39,100195165,A GHOST IN THE LAW COURT.,1900-04-07,1 S,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,500,N,Empty,SUPPLEMENT TO THE BRAIDWOOD DISPATCH,Empty,https://nla.gov.au/nla.news-article100195165,https://nla.gov.au/nla.news-page10962422,"One of the most celebrated Assize cases arose out of a murder committed in Warwickshire. A farmer, on his return from the market at, Southern, was murdered. A man went the next",159.0747528076172,Empty,0,Empty,0,0,0,text/19000407-472-100195165.txt,Empty,Empty,", LAW"
2,2,43,100196928,A GHOST IN THE FENS.,1900-08-11,1 S,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,435,N,Empty,SUPPLEMENT TO THE BRAIDWOOD DISPATCH,Empty,https://nla.gov.au/nla.news-article100196928,https://nla.gov.au/nla.news-page10962596,Some strange phonemens have been startling the district of the great fen level of Huntingdonahire and combridg[?]. It appears that in Tick Fen a Bamany magistrate has a,171.56898498535156,Empty,0,Empty,0,0,0,text/19000811-472-100196928.txt,Empty,Empty,"Hun, Tick, Banjaay"
3,3,44,100197200,A SOLDIER'S GHOST STORY. THIS IS A TRUE STORY TOLD BY AN OLD PENSIONER TO A FORMER CHAPLAIN OF CHELSEA HOSPITAL.,1900-12-22,3 S,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,1294,N,Empty,CHRISTMAS SUPPLEMENT TO THE BRAIDWOOD DISPATCH,Empty,https://nla.gov.au/nla.news-article100197200,https://nla.gov.au/nla.news-page10962783,"In the year 1799 there was a large garrison at Dover as there was at that tune a constant expectation of an attack from France. There were six battalions at Dover,",75.82223510742188,Empty,0,Empty,0,0,0,text/19001222-472-100197200.txt,Empty,Empty,", CASTLE, TEWKESBUSY, MARKHAM"
4,4,48,100197243,A GHOST STORY.,1900-12-22,3 S,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,183,N,Empty,CHRISTMAS SUPPLEMENT TO THE BRAIDWOOD DISPATCH,Empty,https://nla.gov.au/nla.news-article100197243,https://nla.gov.au/nla.news-page10962783,"A sweep had been employed by a farmer, who lived in an extremely lonely spot. It was late when his work was finished, and he asked permission to sleep in the barn.",202.37071228027344,Empty,0,Empty,0,0,0,text/19001222-472-100197243.txt,Empty,Empty,None
5,5,123,100443655,THE PHANTOM INN. STORY OF THE WOODS.,1894-02-23,6,367,Goulburn Herald (NSW : 1881 - 1907),Article,3542,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100443655,https://nla.gov.au/nla.news-page9509596,"""THAT dog said Silas!"" ""No."" ""Yes, he spoke it just as plainly as I do now. I taught him to say that",3.646787643432617,Empty,0,Empty,0,0,0,text/18940223-367-100443655.txt,Empty,Empty,"BOSTON, CAPE, WEST, NORTH RIVER, DEDHAM, INDIAN, BUFFALO, GREEN, SEARLE, ALBANY, , DEDHAM, HEBREW, ALBANY, GREENHARBOUR, WHITES, DEDHAM, BOSTON, DEDBAM, GREENHARBOUR, WEYMOUTH, WEYMOUTH, BOARLE, CAPE, SEARLO"
6,6,134,100461856,SHORT STORY. SOME SCOTTISH GHOSTS. CASTLES AND MANSIONS THAT ARE HAUNTED,1899-03-24,3 S,372,"Northern Argus (Clare, SA : 1869 - 1954)",Article,1267,N,Empty,SUPPLEMENT TO THE NORTHERN ARGUS,Empty,https://nla.gov.au/nla.news-article100461856,https://nla.gov.au/nla.news-page9620049,"Scotland, the land of deep enthusiasm and poetic feeling, is essentially a land of superstition; witness the firm belief of the peasantry in the weird traditions of",14.50644588470459,Empty,0,Empty,0,0,0,text/18990324-372-100461856.txt,Empty,Empty,"HSASIONS, , WEST, HIGHLANDS, GLAINIS, FORFARSHIRE, FRENCHWOMAN, PARIS, COR, AIRLIE, AIRLIE, PORTEOUS, EDINBURGH, ARGYLL, MADENDS, , MACLEOD"
7,7,144,100464118,THE STORY TELLER SHORT STORY. THE MINISTER'S GHOST STORY.,1899-11-10,4 S,372,"Northern Argus (Clare, SA : 1869 - 1954)",Article,2329,Y,Empty,SUPPLEMENT TO THE NORTHERN ARGUS,Empty,https://nla.gov.au/nla.news-article100464118,https://nla.gov.au/nla.news-page9620314,"""Good-night, bairns! M'lvor, see that they a gang to bed at a reasonable hour, and dinna sit op late yessel. The morn's the Fast Day, mind, and ye've to",130.0558624267578,Empty,0,Empty,0,0,0,text/18991110-372-100464118.txt,Empty,Empty,"XIRLS, , ROMISH, BARNSTRAE, PSALMS, BEL, RACHEL, BARASTRAE, EDINBURGH, FRENCH, IAN, ITARHT, IAN, SADDLE"
8,8,146,100464570,GHOSTS IN THE KITCHEN.,1899-09-29,1 S,372,"Northern Argus (Clare, SA : 1869 - 1954)",Article,222,N,Empty,SUPPLEMENT TO THE NORTHERN ARGUS,Empty,https://nla.gov.au/nla.news-article100464570,https://nla.gov.au/nla.news-page9620263,"""There are ghosts in the kitchen, sir,"" was the extraordinary announcement made by a cook last night to her master, just as he was sitting down to dinner. The woman, pale",5.322859764099121,Empty,0,Empty,0,0,0,text/18990929-372-100464570.txt,Empty,Empty,None
9,9,150,100497041,"BY ""AUGURS GHOST.",1895-04-09,4,431,Narandera Argus and Riverina Advertiser (NSW : 1893 - 1953),Article,708,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100497041,https://nla.gov.au/nla.news-page10681992,An amatuer Australian bammer throwing record is said to have been made by Mr. O. M'Cormack at the annual sports gathering of the Wellington (N.Z.) A.A.C. on March,202.2479858398437,Empty,0,Empty,0,0,0,text/18950409-431-100497041.txt,Empty,Empty,"WELLINGTON, AUCKLAND, PARIS, AUSTRALIA, , AUCKLAND, SCOTCH, ST., AUSTRALIA, MELBOURNE, NORTH QUEENSLAND, WIN, UOSWORLB, BRITISH, AUSTRALIAN, MARCH, ENGLISH"
