Unnamed: 0,line_num,og_line_num,article_id,title,date,page,newspaper_id,newspaper_title,category,words,illustrated,edition,supplement,section,url,page_url,snippet,relevance,status,corrections,last_corrected,tags,comments,lists,text,pdf,images,placenames,latitude,longitude
1999,2185,49750,199625869,THE WESLEY GHOSTS.,1890-06-14,3,582,Mount Alexander Mail (Vic. : 1854 - 1917),Article,677,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article199625869,https://nla.gov.au/nla.news-page21894574,"The Wesley Ghosts are always being revived, with all the curious questions which they suggest The latest appearance is in a memoir of Susanna Wesley, by Miss Eliza Clark (W. H.",5.512688636779785,Empty,0,Empty,0,0,0,text/18900614-582-199625869.txt,Empty,Empty,"MIJHIIPIJPCDATIS, SIIMTRIY, V, /HOMER, JIER, EPWORTH, , PROFESSOR, AMERICA, NORTH, , WESLEYS, WESLEYS, LOHDON, WESLOY",-37.16993308,146.2179042
2000,2186,49762,199630962,A VANQUISHED GHOST.,1890-05-14,2,582,Mount Alexander Mail (Vic. : 1854 - 1917),Article,380,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article199630962,https://nla.gov.au/nla.news-page21894465,"Some boys boarded with a teacher in Scotland, whose house was not far from a country churchyard. They determined to alarm the old grave digger, who was in the habit of reaching his",202.787353515625,Empty,1,2016-11-05T21:24:49Z,0,0,0,text/18900514-582-199630962.txt,Empty,Empty,,Empty,Empty
2001,2187,49770,199665138,GHOST STORIES. THE GHOSTLY SIGNAL AND THE PHANTOM PLOUGHMAN.,1889-07-27,7,326,"Ovens and Murray Advertiser (Beechworth, Vic. : 1855 - 1955)",Article,1303,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article199665138,https://nla.gov.au/nla.news-page21821261,"Two capital ghost stones reach us from the other side of the Atlantic. The first is Canadian, the second comes from Pennsylvania.",130.6412811279297,Empty,0,Empty,0,0,0,text/18890727-326-199665138.txt,Empty,Empty,"CANADIAN, PENNSYL, OTTAWA, , EUROPE",-37.5773611111111,143.87875
2002,2188,49774,199666405,QUITE USED TO BAD SPIRITS.,1889-04-13,9,326,"Ovens and Murray Advertiser (Beechworth, Vic. : 1855 - 1955)",Article,74,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article199666405,https://nla.gov.au/nla.news-page21821032,"A STORY is told of a shrewish Scotchwoman who teed to wean her husband from the dramshop by employing her brother to act the part of a ghost, aud frighten John on his way home.",30.9989013671875,Empty,0,Empty,0,0,0,text/18890413-326-199666405.txt,Empty,Empty,Oome,-18.699722222222224,137.75
2003,2189,49776,199666443,THE MAN WITH THE BROKEN ARM. A GHOST STORY.,1889-01-12,6,326,"Ovens and Murray Advertiser (Beechworth, Vic. : 1855 - 1955)",Article,1682,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article199666443,https://nla.gov.au/nla.news-page21820887,"The following story by the Hon. Stephen Coleridge appears in a late number of The Woman's World:- ""Thought I, as the wind wailed without and",131.16244506835938,Empty,0,Empty,0,0,0,text/18890112-326-199666443.txt,Empty,Empty,God,-32.92237,118.6098
2004,2190,49788,199685772,CARDS SPIRITUALIZED ; OR THE SOLDIER'S PRAYER BOOK.,1877-09-11,3,326,"Ovens and Murray Advertiser (Beechworth, Vic. : 1855 - 1955)",Article,3628,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article199685772,https://nla.gov.au/nla.news-page21830731,"""The Perpetual Almanack ; or Soldier's Prayer Book,"" giving an account of Richd Lane, a private belonging to the 47th regiment of oot, who was taken before the mayor of the",3.652250289916992,Empty,0,Empty,0,0,0,text/18770911-326-199685772.txt,Empty,Empty,"FATHER, FATHER, HEAVEN, SHEBA, SOLO, ALMANACK, TUSCAN, MOLDAVIA, IOWA, UNITED STATES, NORTHERN PACIFIC RAILROAD, CHICAGO, ENGLISH, ENGLAND, PLYMOUTH, ENGLAND, FRANCE, ENGLISH, ENGLISH, AMERICAN, AMERICAN, AMERICA, ENGLAND, ENGLAND, GENTLEMEN, ENGLAND, ROCKHAMPTON, EAST-, MULLIGAN, BUDDEN, Â£289, STANLEY, WOOLOMAI, MORNINGTON, MELBOURNE GAOL, ENGLISH, AUGUST, ZACH, FENIAN, TURKISH, ASIA, CHRISTIAN, IRELAND, LONDON,  TIMES, LONDON, WALES, LONDON, MONET, MONEY, SYDNEY, SYDNEY, CHANCERY, WALES, RUSSIAN",-37.71374317,144.907194
2005,2191,49814,199694234,AMONG THE SPIRITS.,1878-10-26,4,326,"Ovens and Murray Advertiser (Beechworth, Vic. : 1855 - 1955)",Article,3884,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article199694234,https://nla.gov.au/nla.news-page21832869,"Time, 7.30 p.m., three weeks ago. Place, a parlor in Bourke-street. Dramutis persona, Dr Slade and sixteen ladies and gentlemen. Object of meeting, a scance",3.4942169189453125,Empty,0,Empty,0,0,0,text/18781026-326-199694234.txt,Empty,Empty,", GERMAN, SOUNDS, GERMAN, GERMAN, GERMAN, GERMAN",-30.8615,120.1928
2006,2192,49835,199700992,THE PHANTOM COACH. A LAGEND OF CHRISTMAS EVE.,1896-01-04,8,326,"Ovens and Murray Advertiser (Beechworth, Vic. : 1855 - 1955)",Article,2952,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article199700992,https://nla.gov.au/nla.news-page21836676,Hark! Thear the sound of coaches. The hour of attack approaches. --GAY BEGGARS'' OPERA. A pale moon was rising and struggling,4.022883415222168,Empty,0,Empty,0,0,0,text/18960104-326-199700992.txt,Empty,Empty,"ENGLAND, ROMAN, CAPTAIN, LONG JOHN, MEN, ENGLISH, LONG JOHN, LONG, CAPTAIN, LONG, LONG, CAPTAIN GEORGE, LONG",53,-2
2007,2193,49840,199711473,BILL STERRETT'S GHOST RACE.,1900-03-17,4 S,326,"Ovens and Murray Advertiser (Beechworth, Vic. : 1855 - 1955)",Article,1450,N,Empty,Ovens and Murray Advertiser Supplement,Empty,https://nla.gov.au/nla.news-article199711473,https://nla.gov.au/nla.news-page22131225,"""I'll bet yon £5 you won't go out to that haunted house and stay all night alone."" The speaker was Judge Ed. Bower, who for years was the County",185.97821044921875,Empty,0,Empty,0,0,0,text/19000317-326-199711473.txt,Empty,Empty,"Dallas, Tex, Washington, Washington, Dallas, Tex., .and, Texas, Texas, Washington, Thai, -Dallas-",-37.6709722222222,144.937638888888
2008,2194,49870,199720592,A SOLDIER'S GHOST STORY,1900-02-24,1 S,326,"Ovens and Murray Advertiser (Beechworth, Vic. : 1855 - 1955)",Article,1333,N,Empty,Ovens and Murray Advertiser Supplement,Empty,https://nla.gov.au/nla.news-article199720592,https://nla.gov.au/nla.news-page22131174,"In the year 1799 there was a large garrison at Dover, as there was at that time a constant expectation of an attack from France. There were",185.2676239013672,Empty,0,Empty,0,0,0,text/19000224-326-199720592.txt,Empty,Empty,", TEWKESBURV",-38.29049327,143.1608738
2009,2195,49875,199733922,CONVICT [?]YS IN VAN D[?]EMAN'S LAND. NO. 6.THE GHOST OF DEADMAN'S ISLE.,1892-08-27,4,326,"Ovens and Murray Advertiser (Beechworth, Vic. : 1855 - 1955)",Article,2715,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article199733922,https://nla.gov.au/nla.news-page21822030,"It has been said that British history is enshrined in Westminster Abbey and Saint Pauls. The great men, who sleep beneath their marble tablets in these venerable",100.79855346679688,Empty,0,Empty,0,0,0,text/18920827-326-199733922.txt,Empty,Empty,"BRITISH, GOTHIC, PORT, PORT ARTHUR,  OCEAN, PORT ARTHUR, FRANCE, HOLLAND, ENGLAND, THEMEN, TREMAYNE, HULL, H, LAND, BISDON, HOB, PENFOLD, PORT ARTHUR, PORT ARTHUR, TOWN, BUUERSTITIOUS, EHOW, PORT, PORT ARTHUR, FRENCH",-27.9384,121.23974
2010,2196,49880,199734356,THE PONY WAR DANCE. AN INDIAN DRAMA ON THE PLAINS--WILD RIDING AND SPIRITED ACTING.,1892-02-20,5,326,"Ovens and Murray Advertiser (Beechworth, Vic. : 1855 - 1955)",Article,1283,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article199734356,https://nla.gov.au/nla.news-page21821810,"The sun blazed down on the great camp that afternoon and glorified the place so that it looked like a miniature Switzerland of snowy peaks. But it was hot, and blankets were stretched",1.5470914840698242,Empty,0,Empty,0,0,0,text/18920220-326-199734356.txt,Empty,Empty,"Switzerland, Indian, Battle, Indian, Indian, Indians",-37.12763977,145.4826355
2011,2197,49881,199734357,THE SLOWBOB FAMILY GHOST.,1892-02-20,5,326,"Ovens and Murray Advertiser (Beechworth, Vic. : 1855 - 1955)",Article,4415,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article199734357,https://nla.gov.au/nla.news-page21821810,There was no end of excitement at Hollydale when it became known that a gentleman rejoicing in the name of Timothy Slowbob had purchased Cypress Grange. The old-house had,185.74826049804688,Empty,0,Empty,0,0,0,text/18920220-326-199734357.txt,Empty,Empty,"HOLLYDALE, AUSTRALIAN, HOLLYDALE, LOUDON, , BURKE, DINORAH, BUCKINGHAMSHIRE, OXFORD, WHITE, FRANK, DINORAH, EDWARDS, EDWARDS, NORMAN, , DINORAH, EARLY",-37.75875313,145.3529141
